"","model","item","state","estimate","median","mean","sd","ci_025","ci_975"
"1","mhmm","down","1","mu",8.08232341345685,8.15624779834407,1.98779224406484,4.46745665120483,12.2099781698444
"2","mhmm","down","2","mu",20.1882664332898,20.2878640681741,3.92624489385158,11.7697928941329,28.1500529784997
"3","mhmm","down","3","mu",50.1089029802039,50.0113769216092,4.8924520584168,40.8521420293307,59.7335222689405
"4","mhmm","down","4","mu",40.9889305623555,40.8586492761097,6.32604091121143,27.8098094502096,53.2835794736909
"5","mhmm","dreadnest of day","1","mu",6.30151596338906,6.32444763503204,1.92770916337169,2.54296369966407,10.1591946135962
"6","mhmm","dreadnest of day","2","mu",16.7945471721735,16.6054160864208,4.27146275006904,8.33007978235036,25.5903059470968
"7","mhmm","dreadnest of day","3","mu",38.2400554149658,38.0828547435744,5.77279904103143,26.8731746870034,49.3610178647891
"8","mhmm","dreadnest of day","4","mu",31.8860840509448,32.0737523467999,6.93857050400529,18.0441134853201,46.1305566880536
"9","mhmm","worry","1","mu",15.8232301683343,15.8596243581599,3.50388194791976,8.88038736154319,22.6747734580464
"10","mhmm","worry","2","mu",25.3005962672179,25.3400719601147,4.45972661274319,16.5978702120395,33.9435836293422
"11","mhmm","worry","3","mu",44.6630657639933,44.6539527783546,4.98275364596385,33.9902720964493,54.26693536256
"12","mhmm","worry","4","mu",31.6467871651892,31.4265289646058,5.36239594622448,20.6465349473247,41.7432907166834
"13","mhmm","inadequate","1","mu",10.3688659779389,10.4218790133162,2.56908473816614,5.47328497785957,15.5255949352861
"14","mhmm","inadequate","2","mu",25.8932155583123,25.8043245899465,6.05164142022308,13.418598281636,37.629367090373
"15","mhmm","inadequate","3","mu",48.9470960369146,49.1127723470301,5.25316976451568,39.1128380913429,59.6763303653053
"16","mhmm","inadequate","4","mu",35.498553470684,35.2487786050827,6.09794112435869,22.771897178839,46.8052998947872
"17","mhmm","tired","1","mu",33.4562099801411,33.5078203514297,4.47222564598482,25.4690171465018,42.7025830675527
"18","mhmm","tired","2","mu",34.0038719978842,34.1356513613396,5.51275664996623,22.9673298626379,45.1623941650645
"19","mhmm","tired","3","mu",57.8851840221945,57.941668227937,4.53402066611353,49.0980602769689,66.7174393770366
"20","mhmm","tired","4","mu",55.697036479508,55.7753207341641,5.00261276908128,46.748317884165,65.8319234482561
"21","mhmm","content","1","mu",53.7903405389186,53.7803029042801,3.34717693963381,47.2054855480332,60.5406474637561
"22","mhmm","content","2","mu",50.039124476289,50.0925980333296,4.12648536997562,42.1943082438311,58.1259234782991
"23","mhmm","content","3","mu",26.0904473869589,26.1375644361265,4.37785083795642,17.8841783480764,34.5672634636344
"24","mhmm","content","4","mu",29.7144887998609,29.7333392248215,4.15344862968128,21.9828487726529,38.1750312804533
"25","mhmm","agitated","1","mu",8.72402148367639,8.7058413980591,2.06745903236087,4.54042377496085,12.7917219819918
"26","mhmm","agitated","2","mu",32.9272377856579,32.9740017472857,5.37312603647813,22.1519825840742,43.6042311508946
"27","mhmm","agitated","3","mu",34.8886076396932,34.7020024986775,5.89999073391749,23.2486975138771,46.6429520025743
"28","mhmm","agitated","4","mu",18.9009902181467,18.9047433184437,5.4471117377772,7.82626218380235,29.6364924860277
"29","mhmm","irritated","1","mu",7.6005595823356,7.46176033477808,1.82045855104154,3.75978364760977,10.8476703790534
"30","mhmm","irritated","2","mu",23.8207855325176,23.9019985952114,4.76149184734026,14.8724772486384,33.0314042013486
"31","mhmm","irritated","3","mu",37.5201526978117,37.4378605472187,5.56032412663333,26.5651036845752,48.096306545345
"32","mhmm","irritated","4","mu",24.2484688691188,24.0001224305871,5.62429336123839,12.7947884085516,34.9349554042521
"33","mhmm","switch and focus","1","mu",36.9862319723246,37.0340521935334,4.22484630715149,29.019445660619,45.7076711279204
"34","mhmm","switch and focus","2","mu",44.5439007671172,44.6048654187368,4.60942907530352,35.6008718685726,54.2405293363296
"35","mhmm","switch and focus","3","mu",31.7176156115825,31.8583124619097,4.65347137704775,22.4593105113543,41.0354332554541
"36","mhmm","switch and focus","4","mu",23.0203660890468,22.7842279515366,4.40259066897369,14.0229280952924,31.1317391544853
"37","mhmm","extremely well","1","mu",30.0090143138357,30.1297327153272,4.87455479103188,20.7097419967642,39.7827912831386
"38","mhmm","extremely well","2","mu",37.7866962340883,37.8421584509115,5.20257962294451,27.9447334421092,47.9644126324363
"39","mhmm","extremely well","3","mu",17.6072119431899,17.6312540347337,3.78052152544949,10.1452391113147,24.9718527363329
"40","mhmm","extremely well","4","mu",14.3578576018765,14.4100898924158,3.37694165119378,7.65630138755886,20.8890085579097
"41","mhmm","full of ideas","1","mu",28.4724751814969,28.4467735884144,4.65634936391234,19.53170988892,37.7906808525699
"42","mhmm","full of ideas","2","mu",36.5609131878109,36.5857443494508,5.23427879492341,26.2229830991282,46.5112878376275
"43","mhmm","full of ideas","3","mu",20.9922097850749,20.9655981511387,4.47200625091372,11.8566033621552,30.040252397598
"44","mhmm","full of ideas","4","mu",13.5494775777688,13.470365181353,3.0335334850797,7.76916347284561,19.1090879565463
"45","mhmm","thoughts are racing","1","mu",28.3343780626506,28.5000240004017,4.51092835013453,19.914842572346,37.5551833303849
"46","mhmm","thoughts are racing","2","mu",42.5359599514483,42.6454002049586,5.28622910928263,32.7424890461805,53.5124580093599
"47","mhmm","thoughts are racing","3","mu",33.6429061523383,33.7060335646995,5.41008562654737,23.3383283032587,44.7998837059513
"48","mhmm","thoughts are racing","4","mu",19.3579073388099,19.4782317555094,4.97185244684986,9.98467953846485,29.3934929142925
"49","mhmm","down","1","var",24.1120426904498,25.4525676834818,6.57122049273215,17.0102142912538,41.5987755176048
"50","mhmm","down","2","var",254.001358824946,260.822619583307,48.4612438625768,184.218042459644,368.876808316414
"51","mhmm","down","3","var",418.098972323833,428.743662661394,63.2858473136525,338.877861538022,572.682051762337
"52","mhmm","down","4","var",204.282798745041,210.016604757159,36.6811671280403,155.28551806615,294.986943186523
"53","mhmm","dreadnest of day","1","var",24.4383373970901,25.6005975952503,6.41730163898405,16.6914098570525,41.6156532582824
"54","mhmm","dreadnest of day","2","var",377.361308117883,381.678701354611,56.1168094929763,290.151591280718,500.990859273697
