"","X","model","state","observations","dwell_time","estimates","true","mean","median","sd","bias_mean","bias_mean_pp","bias_median","bias_median_pp","coverage_pp"
"1",1,"medhmm",3,200,"1.4","dwell_mu_bar_1",1.44,9.97,9.97,0,8.56,593.14,8.56,593.15,0
"2",2,"medhmm",3,200,"1.4","dwell_mu_bar_2",1.44,9.97,9.97,0,8.56,593.15,8.56,593.15,0
"3",3,"medhmm",3,200,"1.4","dwell_mu_bar_3",1.44,9.97,9.97,0,8.56,593.14,8.56,593.14,0
"4",4,"medhmm",3,200,"1.4","gamma_prob_bar_S1toS1",0,0,0,0,0,NA,0,NA,100
"5",5,"medhmm",3,200,"1.4","gamma_prob_bar_S1toS2",0.5,0.58,0.58,0.11,0.08,15.86,0.08,16.44,100
"6",6,"medhmm",3,200,"1.4","gamma_prob_bar_S1toS3",0.5,0.42,0.42,0.11,-0.08,15.86,-0.08,16.44,100
"7",7,"medhmm",3,200,"1.4","gamma_prob_bar_S2toS1",0.5,0.5,0.5,0.11,0,0.13,0,0.06,100
"8",8,"medhmm",3,200,"1.4","gamma_prob_bar_S2toS2",0,0,0,0,0,NA,0,NA,100
"9",9,"medhmm",3,200,"1.4","gamma_prob_bar_S2toS3",0.5,0.5,0.5,0.11,0,0.13,0,0.06,100
"10",10,"medhmm",3,200,"1.4","gamma_prob_bar_S3toS1",0.5,0.42,0.42,0.11,-0.08,15.37,-0.08,16.15,100
"11",11,"medhmm",3,200,"1.4","gamma_prob_bar_S3toS2",0.5,0.58,0.58,0.11,0.08,15.37,0.08,16.15,100
"12",12,"medhmm",3,200,"1.4","gamma_prob_bar_S3toS3",0,0,0,0,0,NA,0,NA,100
"13",1,"medhmm",3,200,"3.5","dwell_mu_bar_1",3.48,4.39,4.39,0.05,0.93,26.78,0.93,26.72,0.78
"14",2,"medhmm",3,200,"3.5","dwell_mu_bar_2",3.48,4.95,4.95,0.05,1.49,42.85,1.49,42.73,0
"15",3,"medhmm",3,200,"3.5","dwell_mu_bar_3",3.48,4.39,4.39,0.05,0.92,26.54,0.92,26.47,0.78
"16",4,"medhmm",3,200,"3.5","gamma_prob_bar_S1toS1",0,0,0,0,0,NA,0,NA,100
"17",5,"medhmm",3,200,"3.5","gamma_prob_bar_S1toS2",0.5,0.52,0.52,0.04,0.02,3.38,0.02,3.56,86.72
"18",6,"medhmm",3,200,"3.5","gamma_prob_bar_S1toS3",0.5,0.48,0.48,0.04,-0.02,3.38,-0.02,3.56,86.72
"19",7,"medhmm",3,200,"3.5","gamma_prob_bar_S2toS1",0.5,0.48,0.48,0.05,-0.02,3.17,-0.02,3.15,85.94
"20",8,"medhmm",3,200,"3.5","gamma_prob_bar_S2toS2",0,0,0,0,0,NA,0,NA,100
"21",9,"medhmm",3,200,"3.5","gamma_prob_bar_S2toS3",0.5,0.52,0.52,0.05,0.02,3.17,0.02,3.15,85.94
"22",10,"medhmm",3,200,"3.5","gamma_prob_bar_S3toS1",0.5,0.47,0.47,0.04,-0.03,6.17,-0.03,6.33,78.91
"23",11,"medhmm",3,200,"3.5","gamma_prob_bar_S3toS2",0.5,0.53,0.53,0.04,0.03,6.17,0.03,6.33,78.91
"24",12,"medhmm",3,200,"3.5","gamma_prob_bar_S3toS3",0,0,0,0,0,NA,0,NA,100
"25",1,"medhmm",3,200,"19.5","dwell_mu_bar_1",19.5,19.3,19.3,0.05,-0.28,1.45,-0.29,1.47,99.22
"26",2,"medhmm",3,200,"19.5","dwell_mu_bar_2",19.5,19.11,19.11,0.05,-0.4,2.07,-0.41,2.09,93.75
"27",3,"medhmm",3,200,"19.5","dwell_mu_bar_3",19.5,18.92,18.92,0.05,-0.53,2.71,-0.53,2.72,92.19
"28",4,"medhmm",3,200,"19.5","gamma_prob_bar_S1toS1",0,0,0,0,0,NA,0,NA,100
"29",5,"medhmm",3,200,"19.5","gamma_prob_bar_S1toS2",0.5,0.5,0.5,0.04,0,0.96,0,0.94,96.88
"30",6,"medhmm",3,200,"19.5","gamma_prob_bar_S1toS3",0.5,0.5,0.5,0.04,0,0.96,0,0.94,96.88
"31",7,"medhmm",3,200,"19.5","gamma_prob_bar_S2toS1",0.5,0.5,0.5,0.04,0,0.92,0,0.92,95.31
"32",8,"medhmm",3,200,"19.5","gamma_prob_bar_S2toS2",0,0,0,0,0,NA,0,NA,100
"33",9,"medhmm",3,200,"19.5","gamma_prob_bar_S2toS3",0.5,0.5,0.5,0.04,0,0.92,0,0.92,95.31
"34",10,"medhmm",3,200,"19.5","gamma_prob_bar_S3toS1",0.5,0.49,0.49,0.04,-0.01,1.2,-0.01,1.22,97.66
"35",11,"medhmm",3,200,"19.5","gamma_prob_bar_S3toS2",0.5,0.51,0.51,0.04,0.01,1.2,0.01,1.22,97.66
"36",12,"medhmm",3,200,"19.5","gamma_prob_bar_S3toS3",0,0,0,0,0,NA,0,NA,100
"37",1,"medhmm",3,200,"99.5","dwell_mu_bar_1",99.5,82.27,83.1,0.1,-17.21,17.3,-16.37,16.46,30.71
"38",2,"medhmm",3,200,"99.5","dwell_mu_bar_2",99.5,76.71,79.84,0.18,-23,23.11,-19.43,19.53,28.35
"39",3,"medhmm",3,200,"99.5","dwell_mu_bar_3",99.5,83.1,83.93,0.1,-16.51,16.59,-15.8,15.88,37.8
"40",4,"medhmm",3,200,"99.5","gamma_prob_bar_S1toS1",0,0,0,0,0,NA,0,NA,100
"41",5,"medhmm",3,200,"99.5","gamma_prob_bar_S1toS2",0.5,0.52,0.52,0.09,0.02,4.08,0.02,4.23,92.91
"42",6,"medhmm",3,200,"99.5","gamma_prob_bar_S1toS3",0.5,0.48,0.48,0.09,-0.02,4.08,-0.02,4.23,92.91
"43",7,"medhmm",3,200,"99.5","gamma_prob_bar_S2toS1",0.5,0.5,0.51,0.1,0,1,0.01,1.01,96.85
"44",8,"medhmm",3,200,"99.5","gamma_prob_bar_S2toS2",0,0,0,0,0,NA,0,NA,100
"45",9,"medhmm",3,200,"99.5","gamma_prob_bar_S2toS3",0.5,0.5,0.49,0.1,0,1,-0.01,1.01,96.85
"46",10,"medhmm",3,200,"99.5","gamma_prob_bar_S3toS1",0.5,0.48,0.48,0.1,-0.02,3.24,-0.02,3.12,93.7
"47",11,"medhmm",3,200,"99.5","gamma_prob_bar_S3toS2",0.5,0.52,0.52,0.1,0.02,3.24,0.02,3.12,93.7
"48",12,"medhmm",3,200,"99.5","gamma_prob_bar_S3toS3",0,0,0,0,0,NA,0,NA,100
"49",1,"medhmm",3,500,"1.4","dwell_mu_bar_1",1.44,13.46,13.46,0.18,12.03,834.15,11.97,829.72,0
"50",2,"medhmm",3,500,"1.4","dwell_mu_bar_2",1.44,17.81,17.81,0.18,16.35,1133.36,16.31,1130.57,0
"51",3,"medhmm",3,500,"1.4","dwell_mu_bar_3",1.44,13.6,13.6,0.18,12.21,846.3,12.15,842.36,0
"52",4,"medhmm",3,500,"1.4","gamma_prob_bar_S1toS1",0,0,0,0,0,NA,0,NA,100
"53",5,"medhmm",3,500,"1.4","gamma_prob_bar_S1toS2",0.5,0.47,0.48,0.14,-0.03,5.1,-0.02,4.83,80.47
"54",6,"medhmm",3,500,"1.4","gamma_prob_bar_S1toS3",0.5,0.53,0.52,0.14,0.03,5.1,0.02,4.83,80.47
"55",7,"medhmm",3,500,"1.4","gamma_prob_bar_S2toS1",0.5,0.5,0.5,0.14,0,0.05,0,0.06,96.88
"56",8,"medhmm",3,500,"1.4","gamma_prob_bar_S2toS2",0,0,0,0,0,NA,0,NA,100
"57",9,"medhmm",3,500,"1.4","gamma_prob_bar_S2toS3",0.5,0.5,0.5,0.14,0,0.05,0,0.06,96.88
"58",10,"medhmm",3,500,"1.4","gamma_prob_bar_S3toS1",0.5,0.53,0.52,0.14,0.03,5.08,0.02,4.95,82.81
"59",11,"medhmm",3,500,"1.4","gamma_prob_bar_S3toS2",0.5,0.47,0.48,0.14,-0.03,5.08,-0.02,4.95,82.81
"60",12,"medhmm",3,500,"1.4","gamma_prob_bar_S3toS3",0,0,0,0,0,NA,0,NA,100
"61",1,"medhmm",3,500,"3.5","dwell_mu_bar_1",3.48,4.53,4.53,0.05,1.05,30.24,1.05,30.19,0
"62",2,"medhmm",3,500,"3.5","dwell_mu_bar_2",3.48,4.95,4.95,0.05,1.49,42.88,1.48,42.68,0
"63",3,"medhmm",3,500,"3.5","dwell_mu_bar_3",3.48,4.53,4.53,0.05,1.05,30.28,1.05,30.25,0
"64",4,"medhmm",3,500,"3.5","gamma_prob_bar_S1toS1",0,0,0,0,0,NA,0,NA,100
"65",5,"medhmm",3,500,"3.5","gamma_prob_bar_S1toS2",0.5,0.48,0.48,0.04,-0.02,3.53,-0.02,3.4,87.5
"66",6,"medhmm",3,500,"3.5","gamma_prob_bar_S1toS3",0.5,0.52,0.52,0.04,0.02,3.53,0.02,3.4,87.5
"67",7,"medhmm",3,500,"3.5","gamma_prob_bar_S2toS1",0.5,0.48,0.48,0.05,-0.02,4.14,-0.02,4.18,89.06
"68",8,"medhmm",3,500,"3.5","gamma_prob_bar_S2toS2",0,0,0,0,0,NA,0,NA,100
"69",9,"medhmm",3,500,"3.5","gamma_prob_bar_S2toS3",0.5,0.52,0.52,0.05,0.02,4.14,0.02,4.18,89.06
"70",10,"medhmm",3,500,"3.5","gamma_prob_bar_S3toS1",0.5,0.49,0.49,0.04,-0.01,1.42,-0.01,1.6,82.81
"71",11,"medhmm",3,500,"3.5","gamma_prob_bar_S3toS2",0.5,0.51,0.51,0.04,0.01,1.42,0.01,1.6,82.81
"72",12,"medhmm",3,500,"3.5","gamma_prob_bar_S3toS3",0,0,0,0,0,NA,0,NA,100
"73",1,"medhmm",3,500,"19.5","dwell_mu_bar_1",19.5,19.49,19.49,0.05,-0.07,0.34,-0.07,0.35,91.41
"74",2,"medhmm",3,500,"19.5","dwell_mu_bar_2",19.5,19.3,19.3,0.05,-0.17,0.86,-0.17,0.87,95.31
"75",3,"medhmm",3,500,"19.5","dwell_mu_bar_3",19.5,19.3,19.3,0.05,-0.12,0.63,-0.12,0.63,94.53
"76",4,"medhmm",3,500,"19.5","gamma_prob_bar_S1toS1",0,0,0,0,0,NA,0,NA,100
"77",5,"medhmm",3,500,"19.5","gamma_prob_bar_S1toS2",0.5,0.5,0.5,0.03,0,0.85,0,0.86,96.88
"78",6,"medhmm",3,500,"19.5","gamma_prob_bar_S1toS3",0.5,0.5,0.5,0.03,0,0.85,0,0.86,96.88
"79",7,"medhmm",3,500,"19.5","gamma_prob_bar_S2toS1",0.5,0.5,0.5,0.03,0,0.04,0,0.04,98.44
"80",8,"medhmm",3,500,"19.5","gamma_prob_bar_S2toS2",0,0,0,0,0,NA,0,NA,100
"81",9,"medhmm",3,500,"19.5","gamma_prob_bar_S2toS3",0.5,0.5,0.5,0.03,0,0.04,0,0.04,98.44
"82",10,"medhmm",3,500,"19.5","gamma_prob_bar_S3toS1",0.5,0.5,0.5,0.03,0,0.92,0,0.93,98.44
"83",11,"medhmm",3,500,"19.5","gamma_prob_bar_S3toS2",0.5,0.5,0.5,0.03,0,0.92,0,0.93,98.44
"84",12,"medhmm",3,500,"19.5","gamma_prob_bar_S3toS3",0,0,0,0,0,NA,0,NA,100
"85",1,"medhmm",3,500,"99.5","dwell_mu_bar_1",99.5,96.54,96.54,0.06,-3.37,3.38,-3.39,3.41,89.06
"86",2,"medhmm",3,500,"99.5","dwell_mu_bar_2",99.5,95.58,95.58,0.06,-3.78,3.8,-3.8,3.82,89.84
