"","X","model","state","observations","dwell_time","estimates","true","mean","median","sd","bias_mean","bias_mean_pp","bias_median","bias_median_pp","coverage_pp"
"1",1,"mhmm",3,200,"1.4","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"2",2,"mhmm",3,200,"1.4","gamma_prob_bar_S1toS2_no_diag",0.5,0.5,0.5,0.02,0,0.59,0,0.59,99.22
"3",3,"mhmm",3,200,"1.4","gamma_prob_bar_S1toS3_no_diag",0.5,0.5,0.5,0.02,0,0.59,0,0.59,99.22
"4",4,"mhmm",3,200,"1.4","gamma_prob_bar_S2toS1_no_diag",0.5,0.5,0.5,0.02,0,0.15,0,0.15,99.22
"5",5,"mhmm",3,200,"1.4","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"6",6,"mhmm",3,200,"1.4","gamma_prob_bar_S2toS3_no_diag",0.5,0.5,0.5,0.02,0,0.15,0,0.15,99.22
"7",7,"mhmm",3,200,"1.4","gamma_prob_bar_S3toS1_no_diag",0.5,0.5,0.5,0.02,0,0.13,0,0.13,98.44
"8",8,"mhmm",3,200,"1.4","gamma_prob_bar_S3toS2_no_diag",0.5,0.5,0.5,0.02,0,0.13,0,0.13,98.44
"9",9,"mhmm",3,200,"1.4","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"10",10,"mhmm",3,200,"1.4","dwell_mu_bar_1",1.443,0.87,0.87,0.06,-0.57,39.44,-0.57,39.61,0
"11",11,"mhmm",3,200,"1.4","dwell_mu_bar_2",1.443,0.88,0.88,0.06,-0.56,38.74,-0.56,38.93,0
"12",12,"mhmm",3,200,"1.4","dwell_mu_bar_3",1.443,0.88,0.87,0.06,-0.57,39.25,-0.57,39.44,0
"13",1,"mhmm",3,200,"3.5","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"14",2,"mhmm",3,200,"3.5","gamma_prob_bar_S1toS2_no_diag",0.5,0.51,0.51,0.02,0.01,2.39,0.01,2.4,97.66
"15",3,"mhmm",3,200,"3.5","gamma_prob_bar_S1toS3_no_diag",0.5,0.49,0.49,0.02,-0.01,2.39,-0.01,2.4,97.66
"16",4,"mhmm",3,200,"3.5","gamma_prob_bar_S2toS1_no_diag",0.5,0.5,0.5,0.02,0,0.47,0,0.47,100
"17",5,"mhmm",3,200,"3.5","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"18",6,"mhmm",3,200,"3.5","gamma_prob_bar_S2toS3_no_diag",0.5,0.5,0.5,0.02,0,0.47,0,0.47,100
"19",7,"mhmm",3,200,"3.5","gamma_prob_bar_S3toS1_no_diag",0.5,0.49,0.49,0.02,-0.01,2.36,-0.01,2.36,93.75
"20",8,"mhmm",3,200,"3.5","gamma_prob_bar_S3toS2_no_diag",0.5,0.51,0.51,0.02,0.01,2.36,0.01,2.36,93.75
