"","model","state","observations","dwell_time","Correct_decod(mean)","Miss_class_cases","Kappa_stats"
"st_3_obs_1_dwell_1_medhmm","medhmm","3"," 200","1.44","0.3448062","2.5390625","0.3448062"
"st_3_obs_1_dwell_2_medhmm","medhmm","3"," 200","3.48","0.8739258","0.0546875","0.8739258"
"st_3_obs_1_dwell_3_medhmm","medhmm","3"," 200","19.5","0.9985747","0.0000000","0.9984339"
"st_3_obs_1_dwell_4_medhmm","medhmm","3"," 200","99.5","0.9997869","0.0000000","0.9997540"
"st_3_obs_2_dwell_1_medhmm","medhmm","3"," 500","1.44","0.3890859","3.0000000","0.3890859"
"st_3_obs_2_dwell_2_medhmm","medhmm","3"," 500","3.48","0.8497012","0.1406250","0.8497012"
"st_3_obs_2_dwell_3_medhmm","medhmm","3"," 500","19.5","0.9986367","0.0000000","0.9985555"
"st_3_obs_2_dwell_4_medhmm","medhmm","3"," 500","99.5","0.9997598","0.0000000","0.9997340"
"st_3_obs_3_dwell_1_medhmm","medhmm","3","1000","1.44","0.3682605","3.8750000","0.3682605"
"st_3_obs_3_dwell_2_medhmm","medhmm","3","1000","3.48","0.8102584","0.2656250","0.8102584"
"st_3_obs_3_dwell_3_medhmm","medhmm","3","1000","19.5","0.9986520","0.0000000","0.9986140"
"st_3_obs_3_dwell_4_medhmm","medhmm","3","1000","99.5","0.9997065","0.0000000","0.9996890"
"st_4_obs_1_dwell_1_medhmm","medhmm","4"," 200","1.44","0.3956699","1.0234375","0.3956699"
"st_4_obs_1_dwell_2_medhmm","medhmm","4"," 200","3.48","0.9025146","0.0078125","0.9025146"
"st_4_obs_1_dwell_3_medhmm","medhmm","4"," 200","19.5","0.9990386","0.0000000","0.9989768"
"st_4_obs_1_dwell_4_medhmm","medhmm","4"," 200","99.5","0.9998275","0.0000000","0.9998079"
"st_4_obs_2_dwell_1_medhmm","medhmm","4"," 500","1.44","0.3996490","0.9218750","0.3996490"
"st_4_obs_2_dwell_2_medhmm","medhmm","4"," 500","3.48","0.8655271","0.1250000","0.8655271"
"st_4_obs_2_dwell_3_medhmm","medhmm","4"," 500","19.5","0.9991188","0.0000000","0.9990552"
"st_4_obs_3_dwell_1_medhmm","medhmm","4","1000","1.44","0.4020400","0.8828125","0.4020400"
"st_4_obs_3_dwell_3_medhmm","medhmm","4","1000","19.5","0.9990482","0.0000000","0.9990003"
"st_4_obs_3_dwell_4_medhmm","medhmm","4","1000","99.5","0.9998269","0.0000000","0.9998104"
"st_3_obs_2_dwell_5_medhmm","medhmm","3"," 500","mixed","0.9974840","0.0000000","0.9973714"
"st_3_obs_1_dwell_1_mhmm","mhmm","3","200","1.4","0.9780884","0.0000000","0.9776961"
"st_3_obs_1_dwell_2_mhmm","mhmm","3","200","3.5","0.9883911","0.0000000","0.9880989"
"st_3_obs_1_dwell_3_mhmm","mhmm","3","200","19.5","0.9984331","0.0000000","0.9983371"
"st_3_obs_1_dwell_4_mhmm","mhmm","3","200","99.5","0.9996694","0.0000000","0.9996315"
"st_3_obs_2_dwell_1_mhmm","mhmm","3","500","1.4","0.9785289","0.0000000","0.9785289"
"st_3_obs_2_dwell_2_mhmm","mhmm","3","500","3.5","0.9888611","0.0000000","0.9886005"
"st_3_obs_2_dwell_3_mhmm","mhmm","3","500","19.5","0.9984406","0.0000000","0.9983667"
"st_3_obs_2_dwell_4_mhmm","mhmm","3","500","99.5","0.9996520","0.0078125","0.9996288"
"st_3_obs_3_dwell_1_mhmm","mhmm","3","1000","1.4","0.9785383","0.0000000","0.9785383"
"st_3_obs_3_dwell_2_mhmm","mhmm","3","1000","3.5","0.9888686","0.0000000","0.9887530"
"st_3_obs_3_dwell_3_mhmm","mhmm","3","1000","19.5","0.9985577","0.0000000","0.9985020"
"st_3_obs_3_dwell_4_mhmm","mhmm","3","1000","99.5","0.9995016","0.0000000","0.9994402"
"st_4_obs_1_dwell_1_mhmm","mhmm","4","200","1.4","0.9782656","0.0000000","0.9779092"
"st_4_obs_1_dwell_2_mhmm","mhmm","4","200","3.5","0.9906450","0.0000000","0.9903321"
"st_4_obs_1_dwell_3_mhmm","mhmm","4","200","19.5","0.9987275","0.0000000","0.9986429"
"st_4_obs_1_dwell_4_mhmm","mhmm","4","200","99.5","0.9995903","0.0000000","0.9995442"
"st_4_obs_2_dwell_1_mhmm","mhmm","4","500","1.4","0.9790535","0.0000000","0.9789808"
"st_4_obs_2_dwell_2_mhmm","mhmm","4","500","3.5","0.9911143","0.0000000","0.9909936"
"st_4_obs_2_dwell_3_mhmm","mhmm","4","500","19.5","0.9989826","0.0000000","0.9989128"
"st_4_obs_2_dwell_4_mhmm","mhmm","4","500","99.5","0.9997805","0.0000000","0.9997559"
"st_4_obs_3_dwell_1_mhmm","mhmm","4","1000","1.4","0.9795252","0.0000000","0.9794885"
"st_4_obs_3_dwell_2_mhmm","mhmm","4","1000","3.5","0.9912363","0.0000000","0.9912195"
"st_4_obs_3_dwell_3_mhmm","mhmm","4","1000","19.5","0.9989846","0.0000000","0.9989388"
"st_4_obs_3_dwell_4_mhmm","mhmm","4","1000","99.5","0.9998202","0.0000000","0.9998026"
"st_3_obs_2_dwell_5_mhmm","mhmm","3","500","mixed","0.9990590","0.0000000","0.9989405"
