"model","state","observations","dwell_time","estimates","mean_emp_dwell_true","median_emp_dwell_true","mean_emp_dwell","median_emp_dwell","sd_emp_dwell","ci_025","ci_975","ci_025_true","ci_975_true"
"medhmm",3,200,"1.4","emp_dwell1",1.62919608457914,1.046875,10.3504588926184,10,1.90550380705241,10,14.291015625,1,3.9484375
"medhmm",3,200,"1.4","emp_dwell2",1.63841919715396,1.0703125,40.7554239094726,21.8359375,45.22627796966,10,178.38671875,1,3.934765625
"medhmm",3,200,"1.4","emp_dwell3",1.63204661313768,1.0546875,10.3588247212305,10,1.98071960991118,10,14.470703125,1,3.9638671875
"medhmm",3,200,"3.5","emp_dwell1",3.74497403157557,3.078125,4.71493340007148,4.0546875,2.31630277943429,2.0078125,10.728125,1.0078125,9.4064453125
"medhmm",3,200,"3.5","emp_dwell2",3.70947343743172,3.0625,5.29222100443523,4.3203125,3.35405058977055,1.8939453125,14.0494140625,1,9.118359375
"medhmm",3,200,"3.5","emp_dwell3",3.74431891220474,3.078125,4.66771344884338,4.0390625,2.28569804990771,2.015625,10.5591796875,1,9.22304687499999
"medhmm",3,200,"19.5","emp_dwell1",19.9539876469902,17.4296875,19.9464237676719,17.43359375,11.7085022006085,4.9025390625,49.4701171875,4.8763671875,49.4435546875
"medhmm",3,200,"19.5","emp_dwell2",19.7946307068109,17.33984375,19.7868675840269,17.2890625,11.471661233612,4.927734375,48.3130859375,4.869140625,48.2884765625
"medhmm",3,200,"19.5","emp_dwell3",19.7075432855658,17.234375,19.7063374128928,17.25390625,11.4661185469439,4.8080078125,48.5693359375,4.7443359375,48.456640625
"medhmm",3,200,"99.5","emp_dwell1",81.6581018280361,75.8976377952756,81.6221970807268,75.9370078740157,46.4630243564697,10.7814960629921,186.840551181102,10.8218503937008,186.853937007874
"medhmm",3,200,"99.5","emp_dwell2",81.5150148617062,75.2795275590551,81.5349696244923,75.3031496062992,46.6930781879622,9.95157480314961,186.683464566929,9.94232283464567,186.822440944882
"medhmm",3,200,"99.5","emp_dwell3",83.2050415127257,77.8818897637795,83.1645024182611,77.8543307086614,46.2502548997225,11.1259842519685,186.836417322835,11.3391732283465,186.853543307087
"medhmm",3,500,"1.4","emp_dwell1",1.63549769788981,1.0625,7.8223285813234,4.78515625,10.0647498260144,1.1796875,33.55546875,1,3.95253906249999
"medhmm",3,500,"1.4","emp_dwell2",1.63302136637876,1.0390625,20.7024379747752,9.22265625,36.8346509530517,1,119.9744140625,1,3.928515625
"medhmm",3,500,"1.4","emp_dwell3",1.63868148846404,1.046875,8.63211683472695,5.0234375,11.7096276285126,1.1974609375,39.216796875,1,3.927734375
"medhmm",3,500,"3.5","emp_dwell1",3.75591104041923,3.078125,4.85446306838393,4.140625,2.44209335212649,2.015625,11.162890625,1.0078125,9.32421875
"medhmm",3,500,"3.5","emp_dwell2",3.78123137141823,3.09375,5.21088430267982,4.1875,3.51063399009261,1.7763671875,13.8416015625,1,9.3484375
"medhmm",3,500,"3.5","emp_dwell3",3.77717231821749,3.07421875,4.8255349991771,4.1640625,2.44155333315605,2.0078125,11.173046875,1,9.3205078125
"medhmm",3,500,"19.5","emp_dwell1",20.6439896228441,17.91015625,20.6473825059663,17.91015625,11.9706111414285,5.894140625,50.735546875,5.8744140625,50.7423828125
"medhmm",3,500,"19.5","emp_dwell2",20.5725799730983,17.859375,20.5766599465523,17.8515625,12.0213515567126,5.790625,51.275,5.750390625,51.269921875
"medhmm",3,500,"19.5","emp_dwell3",20.5588580920331,17.78125,20.560060331986,17.78515625,11.915876286045,5.8625,50.673828125,5.81875,50.6541015625
"medhmm",3,500,"99.5","emp_dwell1",94.490065788812,84.69921875,94.4709160914631,84.66796875,53.9099043247786,17.090625,222.2064453125,17.187890625,222.241796875
"medhmm",3,500,"99.5","emp_dwell2",94.3150597251647,84.6875,94.3455737869303,84.72265625,52.742853421102,18.1619140625,219.9515625,18.0865234375,219.938671875
"medhmm",3,500,"99.5","emp_dwell3",94.830960716318,85.1953125,94.8357269335422,85.203125,53.2279671565407,18.4291015625,221.227734375,18.48046875,221.2447265625
"medhmm",3,1000,"1.4","emp_dwell1",1.63779048055014,1.0703125,9.20822089320669,5.078125,15.3477899115428,1.1171875,43.2947265624999,1,3.9921875
"medhmm",3,1000,"1.4","emp_dwell2",1.63771884036799,1.0703125,24.5779987135852,8.6953125,56.8084857738723,1,163.682421875,1,3.9609375
"medhmm",3,1000,"1.4","emp_dwell3",1.63099088951059,1.0625,8.82495110759572,5.015625,13.9830683220229,1.078125,38.626953125,1,3.94082031249999
"medhmm",3,1000,"3.5","emp_dwell1",3.73405430153695,3.046875,5.02263456725213,4.37109375,2.56046496893866,2,11.6197265625,1,9.235546875
"medhmm",3,1000,"3.5","emp_dwell2",3.7659776002314,3.109375,5.08227225566187,4.0703125,3.567861885905,1.5193359375,13.6650390625,1,9.259375
"medhmm",3,1000,"3.5","emp_dwell3",3.75347052108129,3.078125,5.03127513920247,4.3046875,2.59703286677487,2,11.737109375,1,9.23124999999999
"medhmm",3,1000,"19.5","emp_dwell1",20.8368242736386,18.08984375,20.83954059477,18.09375,11.9807290110316,6.1849609375,51.1916015625,6.180859375,51.1880859375
"medhmm",3,1000,"19.5","emp_dwell2",20.8041500344334,18.0078125,20.8030329721368,18.0078125,12.0402334930659,6.191015625,51.4955078125,6.1427734375,51.508203125
"medhmm",3,1000,"19.5","emp_dwell3",20.8267589313301,18.05859375,20.8287011285349,18.078125,11.9856216085303,6.19765625,51.351953125,6.1611328125,51.3443359375
"medhmm",3,1000,"99.5","emp_dwell1",99.6997669304794,88.78125,99.6983762351721,88.8203125,54.499799795645,25.67890625,232.8890625,25.61171875,232.5572265625
"medhmm",3,1000,"99.5","emp_dwell2",99.3062030169107,88.43359375,99.3055671867638,88.40234375,54.6348977057744,25.9125,235.025,25.8404296875,234.959765625
"medhmm",3,1000,"99.5","emp_dwell3",99.7354283691755,89.13671875,99.7311516761669,89.11328125,54.4330337723009,24.73984375,233.103125,24.7509765625,232.93828125
"medhmm",4,200,"1.4","emp_dwell1",1.6552049596242,1.15625,5.09326361112255,4.4609375,2.42929663611435,2.0716796875,11.1869140625,1,3.96796875
"medhmm",4,200,"1.4","emp_dwell2",1.65510690063775,1.0703125,7.7417737898417,6.53515625,5.88307193203579,1.0078125,21.9880859375,1,3.984375
