model,state,observations,dwell_time,estimates,TRUE,mean,median,sd,bias_mean,bias_mean_pp,bias_median,bias_median_pp,coverage_pp
medhmm,3,200,1.4,dwell_mu_bar_1,1.44,9.97,9.97,0,8.56,593.14,8.56,593.15,0
medhmm,3,200,1.4,dwell_mu_bar_2,1.44,9.97,9.97,0,8.56,593.15,8.56,593.15,0
medhmm,3,200,1.4,dwell_mu_bar_3,1.44,9.97,9.97,0,8.56,593.14,8.56,593.14,0
medhmm,3,200,1.4,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,1.4,gamma_prob_bar_S1toS2,0.5,0.58,0.58,0.11,0.08,15.86,0.08,16.44,100
medhmm,3,200,1.4,gamma_prob_bar_S1toS3,0.5,0.42,0.42,0.11,-0.08,15.86,-0.08,16.44,100
medhmm,3,200,1.4,gamma_prob_bar_S2toS1,0.5,0.5,0.5,0.11,0,0.13,0,0.06,100
medhmm,3,200,1.4,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,1.4,gamma_prob_bar_S2toS3,0.5,0.5,0.5,0.11,0,0.13,0,0.06,100
medhmm,3,200,1.4,gamma_prob_bar_S3toS1,0.5,0.42,0.42,0.11,-0.08,15.37,-0.08,16.15,100
medhmm,3,200,1.4,gamma_prob_bar_S3toS2,0.5,0.58,0.58,0.11,0.08,15.37,0.08,16.15,100
medhmm,3,200,1.4,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,3.5,dwell_mu_bar_1,3.48,4.39,4.39,0.05,0.93,26.78,0.93,26.72,0.78
medhmm,3,200,3.5,dwell_mu_bar_2,3.48,4.95,4.95,0.05,1.49,42.85,1.49,42.73,0
medhmm,3,200,3.5,dwell_mu_bar_3,3.48,4.39,4.39,0.05,0.92,26.54,0.92,26.47,0.78
medhmm,3,200,3.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,3.5,gamma_prob_bar_S1toS2,0.5,0.52,0.52,0.04,0.02,3.38,0.02,3.56,86.72
medhmm,3,200,3.5,gamma_prob_bar_S1toS3,0.5,0.48,0.48,0.04,-0.02,3.38,-0.02,3.56,86.72
medhmm,3,200,3.5,gamma_prob_bar_S2toS1,0.5,0.48,0.48,0.05,-0.02,3.17,-0.02,3.15,85.94
medhmm,3,200,3.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,3.5,gamma_prob_bar_S2toS3,0.5,0.52,0.52,0.05,0.02,3.17,0.02,3.15,85.94
medhmm,3,200,3.5,gamma_prob_bar_S3toS1,0.5,0.47,0.47,0.04,-0.03,6.17,-0.03,6.33,78.91
medhmm,3,200,3.5,gamma_prob_bar_S3toS2,0.5,0.53,0.53,0.04,0.03,6.17,0.03,6.33,78.91
medhmm,3,200,3.5,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,19.5,dwell_mu_bar_1,19.5,19.3,19.3,0.05,-0.28,1.45,-0.29,1.47,99.22
medhmm,3,200,19.5,dwell_mu_bar_2,19.5,19.11,19.11,0.05,-0.4,2.07,-0.41,2.09,93.75
medhmm,3,200,19.5,dwell_mu_bar_3,19.5,18.92,18.92,0.05,-0.53,2.71,-0.53,2.72,92.19
medhmm,3,200,19.5,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,19.5,gamma_prob_bar_S1toS2,0.5,0.5,0.5,0.04,0,0.96,0,0.94,96.88
medhmm,3,200,19.5,gamma_prob_bar_S1toS3,0.5,0.5,0.5,0.04,0,0.96,0,0.94,96.88
medhmm,3,200,19.5,gamma_prob_bar_S2toS1,0.5,0.5,0.5,0.04,0,0.92,0,0.92,95.31
medhmm,3,200,19.5,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,19.5,gamma_prob_bar_S2toS3,0.5,0.5,0.5,0.04,0,0.92,0,0.92,95.31
medhmm,3,200,19.5,gamma_prob_bar_S3toS1,0.5,0.49,0.49,0.04,-0.01,1.2,-0.01,1.22,97.66
